RespondentID,State,Region,AgeGroup,Gender,IncomeBracket,RaceEthnicity,PlanPurchase12Mo,RecentPurchasePrice,ChannelPreference,TradSlipOnBrand,HandsFreeAwareness,BrandAwarenessProxy_DistWt,DistNearestRetailerMiles,DistNearestFlagshipMiles,IsControlGroup,SawFeatureExplanation,Initial_Intent_79,Initial_Intent_99,Initial_Intent_119,Initial_Intent_139,Initial_Intent_159,Initial_Intent_179,Initial_Intent_199,Initial_Prob_79,Initial_Prob_99,Initial_Prob_119,Initial_Prob_139,Initial_Prob_159,Initial_Prob_179,Initial_Prob_199,Post_Intent_79,Post_Intent_99,Post_Intent_119,Post_Intent_139,Post_Intent_159,Post_Intent_179,Post_Intent_199,Post_Prob_79,Post_Prob_99,Post_Prob_119,Post_Prob_139,Post_Prob_159,Post_Prob_179,Post_Prob_199,ValuePerceptionPost,VW_TooCheap,VW_Bargain,VW_Expensive,VW_TooExpensive,Importance_Brand,Importance_Comfort,Importance_Durability,Importance_Fit,Importance_HandsFreeConvenience,Importance_Material,Importance_Price,Importance_Style,Top3Driver1,Top3Driver2,Top3Driver3,PrimaryUsage,MultiPurchaseLikelihood,Segment
139,IA,Midwest,55-64,Female,$25k-$49k,Hispanic or Latino,Yes,$150-$199,Equal Mix,Nike,Vaguely aware of it,0.098,54.1,68.0,1,0,3,3,2,1,1,1,1,64,35,34,1,0,0,0,3,2,2,2,1,1,1,53,10,15,6,7,0,0,,45,55,130,140,3,5,4,3,4,3,2,5,Comfort,Style,Durability,Work/Office (casual environment),4,Premium Enthusiasts
140,IL,Midwest,35-44,Male,$100k-$149k,White,Yes,$150-$199,In-Store Primarily,Skechers,Never heard of it,0.0138,110.7,-1.0,1,0,5,5,3,3,3,2,2,99,100,63,40,48,13,23,5,4,4,3,2,2,2,92,91,62,56,27,19,21,,85,110,210,220,3,3,4,3,2,3,4,4,Durability,Style,Price,Everyday casual wear,4,Curious Skeptics
141,KS,Midwest,35-44,Male,$75k-$99k,White,Yes,$50-$99,Online Primarily,None,Vaguely aware of it,0.1058,44.3,88.2,0,1,4,4,3,2,2,1,1,81,54,33,16,19,0,0,4,4,3,3,2,2,1,90,69,61,52,31,5,0,5.0,95,105,150,195,3,4,4,3,2,4,4,3,Comfort,Material,Durability,Everyday casual wear,3,Curious Skeptics
142,NH,Northeast,45-54,Female,$150k+,White,Yes,$100-$149,In-Store Primarily,Skechers,Never heard of it,0.0308,86.4,52.3,1,0,5,5,4,4,3,3,2,100,100,70,70,53,40,25,4,4,3,3,2,2,2,95,69,61,56,28,22,7,,135,145,155,175,3,4,3,3,3,3,3,3,Comfort,Durability,Brand,Everyday casual wear,4,Interested Pragmatists
143,IA,Midwest,45-54,Male,$50k-$74k,Hispanic or Latino,Yes,$100-$149,Online Primarily,None,Never heard of it,0.0833,36.7,97.0,0,1,4,3,2,3,2,1,1,83,57,36,24,18,8,0,4,4,3,2,2,1,1,64,76,55,37,17,3,4,3.0,60,80,150,160,4,3,3,3,3,4,3,4,Material,Brand,Style,Travel,3,Curious Skeptics
144,TN,South,55-64,Male,$150k+,White,Yes,$200 or more,Online Primarily,Other,Never heard of it,0.01,46.3,-1.0,0,1,4,4,4,3,2,2,1,94,81,60,51,20,10,0,5,5,4,3,3,3,2,100,99,91,58,52,40,14,4.0,115,125,210,220,1,4,4,3,3,4,4,2,Durability,Price,Comfort,Specific activity needing convenience,3,Value Seekers
145,IN,Midwest,55-64,Female,$50k-$74k,White,Yes,$200 or more,Online Primarily,Skechers,Never heard of it,0.01,158.0,-1.0,0,1,2,2,2,1,1,1,1,32,8,23,0,0,9,0,3,2,2,1,1,1,1,40,24,17,0,2,0,0,5.0,50,60,90,110,3,4,4,2,3,5,3,3,Material,Durability,Comfort,Specific activity needing convenience,5,Interested Pragmatists
146,FL,South,25-34,Female,$100k-$149k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.01,85.8,-1.0,1,0,3,3,2,2,1,1,1,54,55,31,12,0,0,6,4,2,2,2,1,1,1,75,26,30,17,0,0,0,,60,105,115,125,3,4,4,4,3,3,3,3,Comfort,Fit,Durability,Everyday casual wear,3,Interested Pragmatists
147,AL,South,65+,Female,Less than $25k,Other,Yes,$100-$149,Equal Mix,Crocs,Never heard of it,0.0137,127.5,-1.0,1,0,2,2,1,1,1,1,1,27,20,0,0,0,0,0,3,2,2,1,1,1,1,37,12,10,0,0,0,0,,40,55,65,85,2,5,5,3,1,3,4,3,Comfort,Durability,Price,Specific activity needing convenience,1,Traditionalists
148,NY,Northeast,55-64,Female,$100k-$149k,White,Yes,$200 or more,Online Primarily,Other,Never heard of it,0.0512,75.7,87.4,1,0,3,3,2,1,1,1,1,51,46,39,5,0,0,0,3,3,2,2,1,1,1,54,42,25,25,6,2,11,,40,70,125,135,3,5,3,3,4,4,3,4,Comfort,Material,HandsFreeConvenience,Everyday casual wear,4,Interested Pragmatists
149,MS,South,25-34,Male,$150k+,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.01,71.2,-1.0,0,1,5,4,4,4,3,2,1,100,97,66,70,47,36,3,5,5,4,3,3,3,2,93,100,85,50,52,55,34,3.0,80,150,185,205,3,3,4,4,3,4,4,4,Fit,Price,Material,Work/Office (casual environment),2,Curious Skeptics
150,NH,Northeast,18-24,Female,$100k-$149k,Other,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.0863,73.9,131.8,0,1,4,3,2,2,2,1,1,70,32,27,29,16,0,0,5,4,4,3,2,1,1,93,67,67,54,15,0,0,5.0,110,120,175,185,3,5,4,3,4,2,2,5,Comfort,Style,HandsFreeConvenience,Everyday casual wear,4,Premium Enthusiasts
151,OR,West,18-24,Female,$50k-$74k,Hispanic or Latino,Yes,$50-$99,Online Primarily,Skechers,Vaguely aware of it,0.0122,70.5,-1.0,0,1,4,4,3,3,2,1,1,79,65,42,42,8,0,0,4,4,4,3,2,2,1,77,91,76,37,12,15,0,4.0,70,155,165,175,3,5,3,4,5,3,3,5,HandsFreeConvenience,Comfort,Style,Everyday casual wear,3,Premium Enthusiasts
152,FL,South,25-34,Female,$25k-$49k,Hispanic or Latino,Yes,$50-$99,Depends on Type,None,Never heard of it,0.01,79.0,-1.0,0,1,3,3,3,1,1,1,1,62,53,29,16,10,0,0,4,4,2,2,1,1,1,75,71,39,24,0,12,0,5.0,50,60,85,185,2,5,4,3,1,4,4,2,Comfort,Price,Durability,Everyday casual wear,4,Traditionalists
153,AR,South,55-64,Female,$25k-$49k,White,Yes,$100-$149,Online Primarily,Hey Dude,Never heard of it,0.0254,100.2,-1.0,1,0,3,2,2,1,1,1,1,58,29,8,2,0,6,0,3,3,2,2,1,1,1,54,49,29,7,0,3,10,,40,85,95,110,1,4,5,3,3,3,5,3,Durability,Price,Comfort,Specific activity needing convenience,2,Value Seekers
154,WY,West,18-24,Female,Less than $25k,White,Yes,$150-$199,Online Primarily,None,Vaguely aware of it,0.0995,60.0,103.2,0,1,4,3,3,3,2,1,1,73,57,46,36,6,0,6,4,4,3,3,2,2,1,97,76,42,38,16,14,0,5.0,90,100,145,155,3,4,4,3,2,3,4,4,Durability,Style,Comfort,Everyday casual wear,3,Curious Skeptics
155,NC,South,65+,Female,$25k-$49k,White,Yes,$150-$199,In-Store Primarily,Skechers,Never heard of it,0.01,134.3,-1.0,1,0,4,3,3,2,2,2,1,62,48,43,21,16,7,0,4,3,2,2,2,1,1,96,58,32,31,20,0,2,,45,75,145,155,3,5,4,3,3,3,3,2,Comfort,Durability,Price,Specific activity needing convenience,3,Interested Pragmatists
156,AR,South,35-44,Female,$75k-$99k,White,Yes,$150-$199,Online Primarily,Other,Never heard of it,0.01,68.4,-1.0,0,1,4,4,3,2,2,1,1,88,75,65,32,19,4,4,5,4,4,3,2,2,1,99,77,78,54,38,22,10,4.0,95,130,140,205,3,3,3,3,1,2,4,4,Style,Price,Durability,Travel,3,Curious Skeptics
157,AK,West,35-44,Male,$50k-$74k,White,No,$100-$149,In-Store Primarily,Vans,Vaguely aware of it,0.01,-1.0,-1.0,1,0,2,2,2,2,1,1,1,37,25,18,2,0,5,0,3,3,2,2,1,1,1,56,35,33,36,0,4,5,,65,85,115,125,4,3,4,3,2,3,3,3,Durability,Brand,Material,Everyday casual wear,2,Curious Skeptics
158,NC,South,18-24,Female,Less than $25k,White,Yes,$150-$199,Online Primarily,Other,Vaguely aware of it,0.01,58.6,-1.0,1,0,3,3,2,1,1,1,1,32,43,16,1,6,6,0,3,3,2,2,1,1,1,41,49,25,9,0,0,0,,50,60,115,125,4,4,4,3,2,3,4,3,Comfort,Brand,Price,Everyday casual wear,2,Curious Skeptics
159,CA,West,45-54,Male,$75k-$99k,White,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.0159,89.9,-1.0,0,1,4,3,2,2,1,1,1,71,62,22,25,3,0,4,4,4,3,2,1,1,1,81,81,31,26,0,0,6,4.0,95,130,140,180,2,5,4,3,1,2,3,3,Comfort,Durability,Price,Everyday casual wear,4,Traditionalists
160,OR,West,55-64,Female,$25k-$49k,White,No,$200 or more,In-Store Primarily,Crocs,Never heard of it,0.01,93.2,-1.0,0,1,4,2,2,1,1,1,1,63,29,15,6,0,7,0,3,3,2,2,1,1,1,49,31,27,11,0,2,0,2.0,75,100,115,125,3,4,4,3,2,3,4,4,Style,Price,Comfort,Specific activity needing convenience,1,Curious Skeptics
161,VT,Northeast,65+,Female,Less than $25k,Hispanic or Latino,Yes,$100-$149,Online Primarily,Vans,Vaguely aware of it,0.0987,55.2,54.8,1,0,3,2,2,1,1,1,1,32,19,15,0,0,0,5,3,2,1,1,1,1,1,66,14,1,0,0,0,6,,40,50,95,105,2,4,3,3,3,3,4,4,Price,Style,Comfort,Specific activity needing convenience,4,Interested Pragmatists
162,ND,Midwest,35-44,Female,$50k-$74k,Hispanic or Latino,Yes,$100-$149,In-Store Primarily,Nike,Never heard of it,0.0512,73.7,81.3,0,1,4,3,2,2,2,1,1,71,44,12,8,7,1,2,4,4,3,3,2,1,1,72,67,38,35,24,0,0,5.0,70,120,155,205,3,4,4,3,4,4,2,4,Comfort,HandsFreeConvenience,Material,Everyday casual wear,5,Premium Enthusiasts
163,LA,South,25-34,Female,Less than $25k,Hispanic or Latino,Yes,Less than $50,Online Primarily,Nike,Never heard of it,0.0322,123.3,-1.0,1,0,4,3,3,2,1,1,1,87,59,37,23,0,2,0,4,3,3,2,2,1,1,66,63,53,2,33,0,0,,75,95,105,145,1,5,4,3,3,4,5,3,Price,Comfort,Durability,Everyday casual wear,3,Value Seekers
164,UT,West,35-44,Female,$75k-$99k,White,Yes,$50-$99,In-Store Primarily,Other,Somewhat familiar,0.2902,72.4,38.2,1,0,4,4,3,3,2,2,2,90,91,37,41,21,25,10,5,4,4,3,2,2,2,100,76,71,58,21,5,9,,130,140,160,185,3,4,4,3,4,3,3,4,HandsFreeConvenience,Comfort,Style,Everyday casual wear,5,Premium Enthusiasts
165,CT,Northeast,55-64,Male,Less than $25k,Black or African American,No,Less than $50,Equal Mix,Nike,Never heard of it,0.1089,116.9,50.5,0,1,3,2,2,2,1,1,1,46,27,16,2,8,0,0,4,3,2,2,1,1,1,67,39,30,27,1,5,0,4.0,70,80,110,150,2,5,4,3,4,3,3,3,Comfort,HandsFreeConvenience,Durability,Specific activity needing convenience,3,Interested Pragmatists
166,CO,West,65+,Female,$25k-$49k,White,Yes,$50-$99,In-Store Primarily,Adidas,Somewhat familiar,0.1698,67.8,32.6,1,0,3,2,2,2,1,1,1,50,43,19,4,0,0,10,3,2,2,1,1,1,1,37,27,32,3,12,0,0,,45,75,85,120,4,4,4,2,5,4,2,4,HandsFreeConvenience,Material,Durability,Travel,4,Premium Enthusiasts
167,GA,South,18-24,Female,$25k-$49k,White,Yes,$100-$149,Online Primarily,None,Never heard of it,0.01,88.3,-1.0,1,0,3,2,2,1,1,1,1,30,34,9,0,1,5,0,3,3,2,1,1,1,1,59,38,17,0,0,2,5,,40,90,100,120,2,4,5,4,3,3,4,3,Durability,Comfort,Price,Everyday casual wear,3,Value Seekers
168,NY,Northeast,35-44,Female,$25k-$49k,White,Yes,$100-$149,Online Primarily,Adidas,Never heard of it,0.0933,18.0,127.5,1,0,3,2,1,1,1,1,1,34,29,5,4,0,0,6,3,2,2,1,1,1,1,55,27,15,3,0,0,5,,75,85,95,105,3,4,3,3,3,3,4,4,Comfort,Style,Price,Everyday casual wear,2,Curious Skeptics
169,KS,Midwest,25-34,Female,$150k+,White,No,$100-$149,Equal Mix,Crocs,Vaguely aware of it,0.0935,47.0,125.4,1,0,5,4,4,3,2,2,1,100,82,62,63,26,28,0,5,4,3,3,2,2,1,100,86,64,45,28,17,0,,120,130,140,170,4,3,2,3,2,2,3,3,Brand,Price,Fit,Style/Fashion statement,2,Curious Skeptics
170,AK,West,55-64,Male,$50k-$74k,White,Yes,$150-$199,Equal Mix,Other,Vaguely aware of it,0.03,-1.0,-1.0,0,1,4,3,3,2,2,2,1,90,46,61,32,11,15,0,4,4,3,3,2,2,1,76,69,57,42,24,13,4,3.0,70,115,175,200,1,5,5,3,2,2,5,2,Price,Durability,Comfort,Everyday casual wear,3,Value Seekers
171,SC,South,25-34,Male,$75k-$99k,Asian,Yes,$100-$149,Online Primarily,Skechers,Vaguely aware of it,0.0229,95.2,-1.0,0,1,4,3,2,2,1,1,1,72,48,24,16,0,0,0,5,4,3,2,1,2,1,99,60,46,16,4,19,0,5.0,50,75,120,150,4,3,4,3,3,2,3,3,Brand,Durability,Price,Everyday casual wear,4,Curious Skeptics
172,HI,West,55-64,Male,$75k-$99k,White,Yes,$150-$199,In-Store Primarily,Hey Dude,Never heard of it,0.01,117.1,-1.0,0,1,3,3,2,1,1,1,1,59,44,39,0,3,1,0,4,3,3,2,1,1,1,75,63,33,19,0,0,0,3.0,70,80,110,155,2,5,4,3,3,3,5,2,Comfort,Price,Durability,Style/Fashion statement,2,Value Seekers
173,OR,West,35-44,Other/Prefer not to say,$150k+,White,Yes,$200 or more,Depends on Type,None,Never heard of it,0.0259,74.0,-1.0,0,1,4,4,3,3,2,1,1,100,86,34,39,22,2,3,5,4,4,4,3,3,1,99,89,84,86,21,32,0,5.0,90,135,145,175,1,5,5,4,1,3,4,3,Durability,Comfort,Fit,Everyday casual wear,3,Traditionalists
174,CO,West,55-64,Female,$75k-$99k,White,Yes,$100-$149,In-Store Primarily,Nike,Very familiar,0.2131,41.7,19.7,0,1,5,4,3,3,2,2,1,94,80,58,31,3,22,0,5,5,4,3,4,2,1,99,100,67,62,82,23,0,5.0,105,160,205,220,3,3,3,3,2,2,4,4,Price,Style,Comfort,Specific activity needing convenience,5,Curious Skeptics
175,MN,Midwest,45-54,Male,$50k-$74k,Black or African American,Yes,$150-$199,Online Primarily,None,Very familiar,0.2066,65.3,19.5,0,1,3,3,2,2,2,1,1,49,58,29,18,10,0,0,3,3,3,2,1,1,1,47,60,37,38,0,2,0,3.0,55,65,100,135,2,4,4,3,3,3,5,2,Price,Comfort,Durability,Everyday casual wear,3,Value Seekers
176,CA,West,45-54,Female,Less than $25k,White,Yes,$50-$99,Online Primarily,Other,Never heard of it,0.01,104.8,-1.0,1,0,3,3,1,1,1,1,1,47,44,3,4,2,0,6,3,2,2,1,1,1,1,53,22,21,7,0,0,1,,40,50,115,125,1,4,5,3,1,3,4,3,Durability,Comfort,Price,Travel,1,Traditionalists
177,WA,West,65+,Female,$75k-$99k,White,Yes,$100-$149,In-Store Primarily,Vans,Never heard of it,0.01,121.1,-1.0,1,0,3,3,2,1,1,1,1,59,43,18,0,0,0,0,3,3,3,2,1,1,1,53,55,31,8,0,4,2,,40,75,120,130,3,5,4,2,5,3,2,5,Comfort,HandsFreeConvenience,Style,Everyday casual wear,5,Premium Enthusiasts
178,HI,West,45-54,Female,$50k-$74k,White,Yes,$100-$149,Equal Mix,None,Vaguely aware of it,0.01,163.0,-1.0,0,1,3,2,2,1,1,1,1,54,27,25,2,0,8,0,4,3,2,2,2,1,1,65,63,20,4,22,5,0,4.0,70,80,130,140,1,5,5,3,2,2,5,2,Comfort,Durability,Price,Everyday casual wear,3,Value Seekers
179,KY,South,25-34,Male,Less than $25k,Hispanic or Latino,Yes,Less than $50,Online Primarily,Vans,Never heard of it,0.0277,101.7,-1.0,0,1,3,2,1,1,1,1,1,49,5,0,0,0,4,0,3,3,2,1,1,1,1,48,43,11,0,0,8,3,5.0,40,85,120,130,2,3,5,3,4,3,3,3,Durability,HandsFreeConvenience,Comfort,Work/Office (casual environment),5,Interested Pragmatists
180,KS,Midwest,35-44,Male,$150k+,Hispanic or Latino,Yes,$200 or more,Equal Mix,Skechers,Vaguely aware of it,0.0612,72.7,141.7,0,1,5,4,3,3,3,2,1,96,86,61,30,39,10,0,5,5,4,4,3,3,2,100,100,96,81,50,23,23,5.0,100,140,160,230,4,4,4,3,5,3,2,4,HandsFreeConvenience,Durability,Style,Work/Office (casual environment),5,Premium Enthusiasts
181,UT,West,35-44,Other/Prefer not to say,$75k-$99k,Black or African American,Yes,$200 or more,Equal Mix,None,Very familiar,0.2357,58.5,10.8,1,0,5,4,3,3,2,2,1,100,78,44,62,34,13,0,4,4,3,3,2,2,1,83,85,53,63,30,0,0,,85,125,150,160,1,5,4,2,3,4,5,4,Price,Comfort,Durability,Everyday casual wear,3,Value Seekers
182,GA,South,25-34,Female,$100k-$149k,Asian,Yes,$150-$199,Online Primarily,None,Never heard of it,0.01,87.9,-1.0,0,1,5,5,3,3,3,2,1,100,96,53,45,55,25,0,5,4,4,4,3,3,2,100,86,86,90,52,48,15,5.0,115,135,215,230,1,5,5,3,3,4,4,3,Durability,Comfort,Material,Everyday casual wear,4,Value Seekers
183,GA,South,45-54,Female,$50k-$74k,White,Yes,$150-$199,Online Primarily,Vans,Vaguely aware of it,0.01,77.9,-1.0,1,0,4,4,3,2,2,2,1,67,77,52,35,33,8,0,4,4,3,2,2,2,1,100,75,54,28,33,27,0,,75,105,150,170,2,5,3,3,3,3,5,3,Comfort,Price,Durability,Other,3,Value Seekers
184,IA,Midwest,25-34,Female,$50k-$74k,Black or African American,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.1115,37.6,120.3,1,0,3,3,2,2,1,1,1,42,46,30,8,0,7,1,3,2,2,1,1,1,1,54,19,14,4,0,0,0,,65,75,85,95,4,4,3,3,2,3,3,3,Brand,Comfort,Durability,Everyday casual wear,2,Curious Skeptics
185,VA,South,45-54,Male,$100k-$149k,Black or African American,Yes,$100-$149,Equal Mix,Adidas,Never heard of it,0.01,157.2,-1.0,1,0,4,4,3,2,2,1,1,62,65,52,33,20,0,1,4,3,3,2,2,2,1,100,58,59,27,10,0,2,,85,95,115,175,2,5,3,3,4,4,4,3,Comfort,Material,HandsFreeConvenience,Work/Office (casual environment),3,Interested Pragmatists
186,DE,South,55-64,Male,$50k-$74k,White,No,$100-$149,In-Store Primarily,Nike,Somewhat familiar,0.0941,81.0,86.8,0,1,3,3,2,2,1,1,1,60,41,19,16,5,0,0,4,4,3,3,1,1,1,74,79,38,42,4,9,0,4.0,55,95,135,145,2,4,5,3,3,3,4,1,Durability,Price,Comfort,Specific activity needing convenience,3,Value Seekers
187,TN,South,25-34,Male,$75k-$99k,White,Yes,$200 or more,In-Store Primarily,Vans,Vaguely aware of it,0.01,82.1,-1.0,1,0,3,4,3,2,2,1,1,50,65,42,14,20,6,0,3,4,2,2,1,1,1,61,75,20,24,0,0,0,,85,95,155,165,2,5,4,2,2,3,4,2,Comfort,Price,Durability,Everyday casual wear,2,Value Seekers
188,MO,Midwest,65+,Male,$25k-$49k,White,Yes,$100-$149,In-Store Primarily,None,Never heard of it,0.0412,93.1,-1.0,0,1,3,2,1,1,1,1,1,39,15,1,3,2,0,0,3,2,2,1,1,1,1,54,12,25,0,0,0,0,4.0,45,55,85,95,2,4,4,4,2,3,4,3,Fit,Comfort,Durability,Travel,4,Traditionalists
189,MI,Midwest,65+,Female,$100k-$149k,White,Yes,$200 or more,Online Primarily,None,Never heard of it,0.01,102.4,-1.0,0,1,3,3,2,2,1,1,1,61,51,26,2,5,0,0,4,4,3,2,2,1,1,76,57,41,39,15,6,0,4.0,75,95,140,150,2,4,4,3,1,3,5,3,Price,Comfort,Durability,Other,4,Traditionalists
190,KY,South,65+,Male,$75k-$99k,White,No,$150-$199,Online Primarily,Crocs,Never heard of it,0.01,133.1,-1.0,0,1,3,3,3,2,2,1,1,43,50,38,23,8,0,0,4,3,3,2,1,1,1,86,34,43,9,3,1,0,5.0,85,95,140,150,3,5,3,3,3,2,3,4,Comfort,Style,Price,Everyday casual wear,5,Interested Pragmatists
191,NM,West,25-34,Male,$100k-$149k,Hispanic or Latino,Yes,$150-$199,Online Primarily,None,Never heard of it,0.0535,150.1,143.0,1,0,5,4,4,3,3,2,1,90,69,75,50,30,13,0,4,4,3,3,2,2,2,86,88,65,42,23,27,10,,80,90,185,230,3,4,3,3,2,4,3,3,Comfort,Material,Fit,Everyday casual wear,3,Curious Skeptics
192,DE,South,35-44,Female,$50k-$74k,Asian,Yes,$200 or more,In-Store Primarily,Hey Dude,Never heard of it,0.0756,126.9,104.7,1,0,4,2,3,1,1,1,1,64,39,39,0,0,5,6,3,3,2,2,1,1,1,56,51,37,18,0,8,0,,80,90,100,135,2,5,5,4,2,3,5,3,Price,Durability,Comfort,Other,4,Value Seekers
193,NJ,Northeast,25-34,Female,$25k-$49k,White,Yes,$200 or more,Online Primarily,None,Vaguely aware of it,0.2337,82.5,43.2,1,0,4,3,3,2,1,1,1,73,52,37,22,0,0,2,4,3,3,2,2,1,1,79,60,38,37,16,3,4,,70,80,105,155,2,5,5,4,2,3,5,2,Comfort,Durability,Price,Work/Office (casual environment),3,Value Seekers
194,MT,West,35-44,Male,Less than $25k,White,Yes,$200 or more,Equal Mix,Crocs,Never heard of it,0.01,49.5,-1.0,0,1,3,3,2,2,1,1,1,59,42,14,19,0,1,0,3,3,3,2,2,1,1,52,45,38,26,14,0,0,5.0,85,95,145,170,3,5,4,2,4,3,3,4,Comfort,HandsFreeConvenience,Durability,Everyday casual wear,5,Premium Enthusiasts
195,CT,Northeast,35-44,Female,$25k-$49k,Black or African American,Yes,$50-$99,In-Store Primarily,Skechers,Never heard of it,0.1066,77.3,100.3,1,0,3,3,3,2,1,1,1,55,48,43,14,0,0,0,3,3,2,1,1,1,1,63,53,26,0,0,4,0,,60,95,140,165,1,4,4,3,1,3,5,2,Price,Comfort,Durability,Everyday casual wear,1,Traditionalists
196,IA,Midwest,55-64,Male,$75k-$99k,White,Yes,$100-$149,In-Store Primarily,None,Vaguely aware of it,0.0638,56.6,121.4,0,1,3,2,2,2,1,1,1,28,27,9,3,6,9,0,3,3,2,1,1,1,1,33,43,14,8,0,8,4,3.0,75,85,135,145,1,5,4,2,3,3,4,2,Comfort,Durability,Price,Travel,2,Value Seekers
197,MO,Midwest,25-34,Male,$75k-$99k,White,Yes,$50-$99,Online Primarily,None,Never heard of it,0.01,45.2,-1.0,0,1,3,4,3,2,1,1,1,55,74,33,18,9,2,0,4,3,3,2,2,1,1,83,62,39,25,19,4,7,4.0,75,85,150,160,2,5,4,3,3,4,3,4,Comfort,Style,Material,Travel,5,Interested Pragmatists
198,NY,Northeast,25-34,Male,$25k-$49k,White,Yes,$100-$149,Online Primarily,None,Never heard of it,0.0721,52.0,67.0,1,0,3,3,2,2,1,1,1,67,44,17,18,4,8,3,3,3,3,2,2,1,1,43,46,44,19,5,0,0,,65,75,135,145,1,4,4,3,2,3,4,2,Comfort,Durability,Price,Style/Fashion statement,3,Value Seekers
199,OR,West,45-54,Male,Less than $25k,White,Yes,Less than $50,Online Primarily,None,Never heard of it,0.01,86.8,-1.0,0,1,4,3,3,2,2,1,1,78,57,47,15,3,0,0,4,4,3,2,2,1,1,79,70,48,24,9,0,2,2.0,65,105,125,175,1,4,4,3,3,3,5,2,Price,Durability,Comfort,Specific activity needing convenience,2,Value Seekers
200,MA,Northeast,35-44,Male,$100k-$149k,Black or African American,Yes,$100-$149,In-Store Primarily,Nike,Somewhat familiar,0.2462,90.9,44.9,0,1,4,4,4,3,2,1,1,94,81,62,62,36,14,0,5,4,4,4,4,3,2,100,93,98,73,65,56,20,5.0,105,130,220,230,1,5,5,3,1,3,5,3,Durability,Price,Comfort,Everyday casual wear,4,Traditionalists
201,NJ,Northeast,25-34,Male,$100k-$149k,Black or African American,Yes,$200 or more,Online Primarily,Skechers,Very familiar,0.2422,76.9,19.9,1,0,4,4,3,3,2,2,1,64,68,59,39,26,18,4,5,3,3,3,2,1,1,100,50,41,40,9,6,8,,65,120,145,175,2,4,4,3,1,3,4,2,Durability,Comfort,Price,Everyday casual wear,2,Traditionalists
202,MO,Midwest,55-64,Female,$100k-$149k,Black or African American,Yes,$200 or more,In-Store Primarily,Vans,Vaguely aware of it,0.0125,63.0,-1.0,0,1,4,4,3,3,2,2,2,92,100,60,53,28,27,17,5,5,4,4,4,3,2,99,97,70,78,72,34,21,4.0,145,155,175,255,2,5,4,3,3,3,3,4,Comfort,Durability,Style,Other,5,Interested Pragmatists
203,TX,South,65+,Female,$75k-$99k,Hispanic or Latino,Yes,$150-$199,In-Store Primarily,Skechers,Never heard of it,0.01,83.3,-1.0,0,1,4,4,3,3,1,2,1,70,76,60,40,3,9,0,4,3,3,3,2,1,1,84,59,53,40,3,2,0,4.0,105,115,125,165,3,5,4,3,4,3,2,4,Comfort,Durability,HandsFreeConvenience,Everyday casual wear,4,Premium Enthusiasts
204,NY,Northeast,35-44,Male,$25k-$49k,White,Yes,$50-$99,Equal Mix,None,Vaguely aware of it,0.0941,126.8,127.6,1,0,5,4,4,3,2,2,1,86,92,91,42,25,19,0,5,5,4,3,3,2,1,96,100,53,33,46,14,2,,95,120,130,190,2,4,3,4,4,2,4,4,Fit,Comfort,Price,Travel,4,Interested Pragmatists
205,AK,West,18-24,Male,$50k-$74k,White,Yes,$100-$149,In-Store Primarily,Nike,Never heard of it,0.01,-1.0,-1.0,0,1,3,2,2,1,1,1,1,68,35,26,0,2,1,3,4,3,3,2,1,1,1,66,63,33,1,10,1,0,4.0,60,95,125,135,1,5,4,2,3,4,5,2,Price,Comfort,Material,Work/Office (casual environment),3,Value Seekers
206,SC,South,45-54,Female,$25k-$49k,White,Yes,$100-$149,Online Primarily,Nike,Never heard of it,0.01,93.2,-1.0,0,1,2,2,1,2,1,1,1,20,11,4,4,0,0,3,3,2,2,1,1,1,1,46,17,15,6,0,3,0,4.0,60,70,90,125,4,4,3,3,2,3,3,4,Brand,Style,Comfort,Specific activity needing convenience,4,Curious Skeptics
207,WV,South,55-64,Male,$75k-$99k,White,Yes,$100-$149,Online Primarily,Crocs,Never heard of it,0.0963,52.7,148.6,0,1,4,3,3,2,2,1,1,77,47,46,34,5,0,0,4,3,3,2,2,2,1,79,42,43,36,11,1,7,4.0,60,125,170,180,4,4,3,3,4,3,2,4,Brand,HandsFreeConvenience,Style,Specific activity needing convenience,3,Premium Enthusiasts
208,NC,South,25-34,Female,$50k-$74k,White,Yes,$150-$199,In-Store Primarily,Vans,Never heard of it,0.01,97.3,-1.0,0,1,3,3,2,2,1,1,1,58,48,26,23,10,0,0,4,4,3,2,1,1,1,75,64,39,22,1,0,9,4.0,85,95,140,160,2,4,4,3,2,4,5,2,Price,Material,Comfort,Work/Office (casual environment),4,Value Seekers
209,MO,Midwest,35-44,Female,$75k-$99k,White,Yes,$100-$149,Online Primarily,Adidas,Vaguely aware of it,0.01,63.1,-1.0,1,0,5,4,4,3,2,2,1,100,87,76,47,32,25,0,4,4,3,3,2,2,1,95,67,49,54,29,14,3,,95,105,185,195,1,4,2,4,4,2,3,4,Style,Comfort,Fit,Everyday casual wear,3,Interested Pragmatists
